Seat ID,Demand Partner,Deal ID,Private Deal,Bid Requests,Bid Responses,Imps,Revenue,Bid eCPM,Bidfloor,Win Rate
16,Google DV360,VDMY_373597881,Yes,4497480,0,0,$ 0.00,$ 0.00,$ 5.70,0.00 %
16,Google DV360,VDMY_450717123,Yes,4471440,0,0,$ 0.00,$ 0.00,$ 5.50,0.00 %
16,Google DV360,VDMY_366474166,Yes,4443540,0,0,$ 0.00,$ 0.00,$ 4.20,0.00 %
16,Google DV360,VDMY_420569430,Yes,4432380,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
16,Google DV360,VDMY_CR_50291,Yes,4363560,11160,4747,$ 28.48,$ 6.18,$ 6.00,0.11 %
16,Google DV360,VDMY_352477582,Yes,4348680,0,0,$ 0.00,$ 0.00,$ 15.00,0.00 %
16,Google DV360,VDMY_352548136,Yes,4333800,0,0,$ 0.00,$ 0.00,$ 20.00,0.00 %
16,Google DV360,VDMY_313758306,Yes,4320780,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_409874827,Yes,4311480,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_HV_24766,Yes,4304040,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_500137055,Yes,4304040,7440,3604,$ 21.62,$ 6.18,$ 6.00,0.08 %
16,Google DV360,VDMY_266822183,Yes,4294740,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_402170934,Yes,4281720,16740,9842,$ 49.21,$ 5.10,$ 5.00,0.23 %
80,MediaMath,VDMY_380863483,Yes,4207320,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
80,MediaMath,VDMY_381040656,Yes,4142220,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
80,MediaMath,VDMY_380770759,Yes,4121760,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_376712140,Yes,4101300,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
80,MediaMath,VDMY_381235126,Yes,4064100,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_512545974,Yes,4058520,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_268323755,Yes,4034340,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_382260279,Yes,4032480,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_480659539,Yes,4006440,5580,6266,$ 37.60,$ 6.18,$ 6.00,0.16 %
16,Google DV360,VDMY_414232867,Yes,4000860,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_440419563,Yes,3933900,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_439974342,Yes,3904140,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_361144139,Yes,3859500,7440,6467,$ 32.34,$ 5.15,$ 5.00,0.17 %
16,Google DV360,VDMY_394676036,Yes,3848340,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_360688521,Yes,3846480,0,0,$ 0.00,$ 0.00,$ 5.50,0.00 %
16,Google DV360,VDMY_444816702,Yes,3842760,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_308781553,Yes,3757200,0,0,$ 0.00,$ 0.00,$ 4.70,0.00 %
16,Google DV360,VDMY_513953516,Yes,3721860,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
80,MediaMath,VDMY_381316409,Yes,3654900,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_HA_99831,Yes,3597240,0,0,$ 0.00,$ 0.00,$ 9.61,0.00 %
16,Google DV360,VDMY_281954241,Yes,3500520,0,0,$ 0.00,$ 0.00,$ 5.39,0.00 %
16,Google DV360,VDMY_282342887,Yes,3476340,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_290890867,Yes,3457740,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
80,MediaMath,VDMY_268762635,Yes,3307080,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_283915950,Yes,3245700,18600,9472,$ 68.58,$ 7.46,$ 7.24,0.29 %
80,MediaMath,VDMY_277057765,Yes,3238260,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_397152688,Yes,3230820,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
80,MediaMath,VDMY_443316924,Yes,3227100,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_482186684,Yes,3227100,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
16,Google DV360,VDMY_340643737,Yes,3227100,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_PH_58199,Yes,3186180,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_331341878,Yes,3176880,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_331341878_old,Yes,3175020,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_376656993,Yes,3139680,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_513738385,Yes,3119220,79980,37194,$ 185.97,$ 5.15,$ 5.00,1.19 %
16,Google DV360,VDMY_397053909,Yes,3119220,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_361458092,Yes,3085740,0,0,$ 0.00,$ 0.00,$ 4.50,0.00 %
16,Google DV360,VDMY_382470371,Yes,3033660,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_HV_34888,Yes,3031800,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_391380696,Yes,3013200,0,0,$ 0.00,$ 0.00,$ 13.00,0.00 %
80,MediaMath,deal-vidoomy-349,Yes,3011340,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_323212499,Yes,3009480,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_420447766,Yes,2996460,9300,5812,$ 29.06,$ 5.15,$ 5.00,0.19 %
16,Google DV360,VDMY_340589948,Yes,2962980,3720,984,$ 5.90,$ 6.18,$ 6.00,0.03 %
16,Google DV360,1062002,Yes,2961120,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_266453884,Yes,2959260,0,0,$ 0.00,$ 0.00,$ 3.75,0.00 %
16,Google DV360,NRE_OM_91457,Yes,2910900,0,0,$ 0.00,$ 0.00,$ 5.44,0.00 %
16,Google DV360,VDMY_290649407,Yes,2896020,0,0,$ 0.00,$ 0.00,$ 4.90,0.00 %
16,Google DV360,VDMY_396939870,Yes,2883000,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_OM_72398,Yes,2873700,3720,1919,$ 9.60,$ 5.15,$ 5.00,0.07 %
16,Google DV360,1062002_err,Yes,2866260,0,0,$ 0.00,$ 0.00,$ 6.50,0.00 %
16,Google DV360,VDMY_482691138,Yes,2829060,0,0,$ 0.00,$ 0.00,$ 6.40,0.00 %
16,Google DV360,VDMY_283664452,Yes,2793720,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
80,MediaMath,VDMY_381445998,Yes,2776980,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_319334831,Yes,2765820,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_HV_46733,Yes,2713740,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_366987359,Yes,2704440,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_484047050,Yes,2594700,0,0,$ 0.00,$ 0.00,$ 15.00,0.00 %
16,Google DV360,VDMY_490186426,Yes,2551920,0,0,$ 0.00,$ 0.00,$ 20.00,0.00 %
16,Google DV360,VDMY_418972467,Yes,2551920,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_298312657,Yes,2522160,0,0,$ 0.00,$ 0.00,$ 4.00,0.00 %
16,Google DV360,VDMY_314221736,Yes,2499840,0,0,$ 0.00,$ 0.00,$ 3.25,0.00 %
16,Google DV360,VDMY_391433992,Yes,2447760,0,0,$ 0.00,$ 0.00,$ 13.00,0.00 %
16,Google DV360,VDMY_324081557,Yes,2445900,0,0,$ 0.00,$ 0.00,$ 3.47,0.00 %
16,Google DV360,VDMY_331833765,Yes,2431020,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_283553509,Yes,2423580,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_HV_34254,Yes,2386380,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_394913080,Yes,2373360,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_OM_54903,Yes,2328720,0,550,$ 2.20,$ 0.00,$ 4.00,0.02 %
16,Google DV360,VDMY_PU_90002,Yes,2311980,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_419653868,Yes,2302680,0,0,$ 0.00,$ 0.00,$ 7.00,0.00 %
16,Google DV360,VDMY_365720337,Yes,2284080,0,0,$ 0.00,$ 0.00,$ 7.00,0.00 %
16,Google DV360,VDMY_278978294,Yes,2282220,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_263328538,Yes,2246880,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_292256170,Yes,2230140,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_321896255,Yes,2176200,0,0,$ 0.00,$ 0.00,$ 20.00,0.00 %
16,Google DV360,VDMY_277694213,Yes,2172480,0,0,$ 0.00,$ 0.00,$ 6.00,0.00 %
16,Google DV360,VDMY_320094745,Yes,2152020,0,0,$ 0.00,$ 0.00,$ 3.25,0.00 %
16,Google DV360,VDMY_513871570,Yes,2140860,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_359123037,Yes,2135280,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_518141163,Yes,2122260,0,0,$ 0.00,$ 0.00,$ 5.50,0.00 %
80,MediaMath,VDMY_MM_781812,Yes,2068320,0,0,$ 0.00,$ 0.00,$ 3.00,0.00 %
16,Google DV360,VDMY_PR_92383,Yes,2012520,0,0,$ 0.00,$ 0.00,$ 5.00,0.00 %
16,Google DV360,VDMY_398274765,Yes,2010660,0,0,$ 0.00,$ 0.00,$ 4.30,0.00 %
